,price,location,baths,bedrooms,Total_Area
4901,48.0,Ghauri Town,0,2,1361.255
4902,110.0,Jhangi Syedan,7,4,1361.255
4905,150.0,Soan Garden,7,6,38659.642
4906,95.0,Bhara kahu,4,4,1633.506
4908,290.0,G-15,0,6,3267.012
4909,290.0,Kuri Road,4,4,5445.0
4910,330.0,G-13,10,10,2994.7609999999995
4911,120.0,Ghauri Town,5,7,1633.506
4912,450.0,DHA Defence,6,6,5445.0
4913,45.0,Jhangi Syedan,3,2,1089.004
4914,135.0,FECHS,5,4,2994.7609999999995
4915,265.0,PWD Housing Scheme,6,6,38659.642
4916,590.0,I-8,7,7,2994.7609999999995
5196,110.0,Meherban Colony,6,4,1361.255
5197,20.0,Jhangi Syedan,1,3,6806.275
5198,395.0,G-13,6,6,3811.514
5199,150.0,G-13,4,4,1089.004
5200,110.0,Pakistan Town,6,6,18240.817
5201,168.0,Pakistan Town,8,7,2722.51
5202,280.0,G-15,7,7,38659.642
5203,500.0,G-13,6,6,3811.514
5204,130.0,National Police Foundation O-9,0,0,2722.51
5205,125.0,PWD Housing Scheme,6,5,25319.343
5206,250.0,I-9,6,6,1633.506
5207,120.0,Bhara kahu,3,4,5445.0
5208,180.0,G-15,5,5,1905.757
5209,110.0,Pakistan Town,5,5,18240.817
5210,215.0,G-11,5,4,15246.056
5211,115.0,FECHS,0,0,2178.008
5212,85.0,Chatha Bakhtawar,6,4,1361.255
5213,90.0,Burma Town,0,0,1633.506
5214,340.0,D-12,7,7,2994.7609999999995
5215,290.0,Bahria Town,5,5,2722.51
5216,90.0,H-13,4,4,1089.004
5217,275.0,Kuri Road,4,4,5445.0
5218,105.0,Kuri Road,3,3,2178.008
5219,320.0,E-11,7,5,2178.008
5220,55.0,Burma Town,3,3,1633.506
5221,260.0,G-13,4,5,1905.757
5222,800.0,E-11,8,6,5445.0
5224,80.0,G-12,6,5,15246.056
5225,225.0,Ghauri Town,9,7,2722.51
5226,400.0,G-8,0,0,2178.008
5227,500.0,G-13,8,7,5445.0
5228,470.0,DHA Defence,8,6,5445.0
